Year,Total Import in USD,Total Import CIF in Rial,Inflation Rate,Iranian Population,Population Growth,GNI Per Capita-CBI Rial - Current
2010,1.18653E+11,1053590812.56,0.263,73762519,1.01149,58348458
2011,88254166983,1123089523.03,0.273,74634956,1.01183,73744033
2012,66202570877,1706575254.00,0.366,75539862,1.01212,79015926
2013,67655518138,2329469836.00,0.166,76481943,1.01247,104451417
2014,41630331169,2472062733.00,0.125,77465753,1.01286,117844570
2015,49171587983,2199956783.00,0.072,78492215,1.01325,113782194
2016,69066994380,2736835000.00,0.08,79564016,1.01365,130523829
2017,75842149734,3651225000.00,0.18,80673951,1.01395,152676296
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
