Year,Male Members,Female Members,Total Members,Percent Male Members,Percent Female Members,Male Cardholders,Female Cardholders,Total Cardholders,Percent Male Cardholders,Percent Female Cardholders,Male: Card Holders/ Members ,Female: Card Holders/ Membership,Total: Card Holders/ Membership,ROG Memb Male,ROG Memb Female,ROG Memb Total,ROG Card Male,ROG Card Female,ROG Card Total
2009,,,,,,7243,525,7768,0.93242,0.06758,,,,,,,,,
2010,"26,969","2,063","29,032",0.92894,0.07106,"12,485","1,015","13,500",0.92481,0.07519,0.46294,0.49200,0.46500,,,,1.72373,1.93333,1.73790
2011,"30,383","2,799","33,182",0.91565,0.08435,"16,695","1,744","18,439",0.90542,0.09458,0.54948,0.62308,0.55569,1.12659,1.35676,1.14295,1.33720,1.71823,1.36585
2012,"31,131","3,153","34,284",0.90803,0.09197,"17,311","1,904","19,215",0.90091,0.09909,0.55607,0.60387,0.56047,1.02462,1.12647,1.03321,1.03690,1.09174,1.04208
2013,"27,919","3,135","31,054",0.89905,0.10095,"16,109","1,921","18,030",0.89346,0.10654,0.57699,0.61276,0.58060,0.89682,0.99429,0.90579,0.93056,1.00893,0.93833
2014,"34,972","4,101","39,073",0.89504,0.10496,"18,369","2,259","20,628",0.89049,0.10951,0.52525,0.55084,0.52793,1.25262,1.30813,1.25823,1.14029,1.17595,1.14409
2015,"31,672","3,695","35,367",0.89552,0.10448,"17,006","2,130","19,136",0.88869,0.11131,0.53694,0.57645,0.54107,0.90564,0.90100,0.90515,0.92580,0.94290,0.92767
2016,"34,715","4,241","38,956",0.89113,0.10887,"19,707","2,443","22,150",0.88971,0.11029,0.56768,0.57604,0.56859,1.09608,1.14777,1.10148,1.15883,1.14695,1.15750
2017,"36,507","4,739","41,246",0.88510,0.11490,"21,006","2,708","23,714",0.88581,0.11419,0.57540,0.57143,0.57494,1.05162,1.11743,1.05878,1.06592,1.10847,1.07061
2018,"42,108","5,676","47,784",0.88122,0.11878,"21,810","2,926","24,736",0.88171,0.11829,0.51795,0.51550,0.51766,1.15342,1.19772,1.15851,1.03827,1.08050,1.04310
2019,"36,007","4,588","40,595",0.88698,0.11302,"23,195","3,072","26,267",0.88305,0.11695,0.64418,0.66957,0.64705,0.85511,0.80832,0.84955,1.06350,1.04990,1.06189
2020,,,,,,"13,199","1,762","14,961",0.88223,0.11777,,,,,,,0.56905,0.57357,0.56957
